1st run with no alimunum foil

2020-02-21 21:31:31.916327
1: 11.6088790894
2: 29.8780300617
3: 30.0945930481
4: 40.3030619621
5: 53.8602571487
6: 78.5490269661
7: 82.7203061581
8: 93.3074371815
9: 94.5342230797
10: 94.8350930214
11: 107.833454132
12: 116.255156994
13: 135.264929056
14: 138.583899975
15: 150.106836081
16: 152.465708971
17: 164.281334162
18: 169.079554081
19: 178.732156992
20: 186.584426165
21: 197.155982018
22: 215.000303984
23: 225.146911144
24: 232.726902008
25: 238.14132905
26: 238.69412899
27: 266.193909168
28: 266.961665154
29: 268.887736082
30: 277.008315086
31: 280.165862083
32: 301.394171953
33: 303.187992096
34: 319.630247116
35: 328.041435003
36: 329.140804052
37: 339.289216042
38: 339.663545132
39: 346.600931168
40: 351.448637009
41: 358.87235117
42: 364.047425032
43: 388.408004045
44: 400.618721962
45: 429.272960186
46: 438.778479099
47: 451.511590958
48: 454.249658108
49: 464.999263048
50: 478.976197004
51: 483.18759799
52: 496.729199171
53: 497.330199957
54: 502.003998041
55: 504.775146961
56: 517.504106998
57: 528.903529167
58: 534.666527987
59: 539.066393137
60: 547.133228064
61: 554.693509102
62: 557.638969183
63: 569.837330103
64: 580.474894047
65: 584.865293026
66: 585.449912071
67: 587.453744173
68: 597.705072165
69: 606.345226049
70: 612.682940006
71: 613.114705086
72: 619.597047091
73: 620.070901155
74: 623.308138132
75: 630.595329046
76: 631.180361986
77: 633.891124964
78: 637.240615129
79: 639.33652401
80: 644.559478998
81: 701.415354013
82: 703.257012129
83: 706.364341974
84: 712.164550066
85: 714.72698617
86: 744.406723022
87: 755.26762414
88: 757.938312054
89: 761.383252144
90: 769.529375076
91: 786.047166109
92: 791.640836
93: 809.812829018
94: 815.798663139
95: 822.607849121
96: 847.931533098
97: 861.43316102
98: 862.973847151
99: 868.605628967
100: 882.846186161
Total count = 100
Count rate = 0.113257021079 Hz
Total dead time = 10.0 seconds
