1st run with 1 sheet of aluminum foil

2020-02-21 21:58:06.089687
1: 14.0278007984
2: 17.29545784
3: 18.8708708286
4: 34.1448009014
5: 44.6609959602
6: 46.0746397972
7: 47.2069997787
8: 61.1787610054
9: 64.9455459118
10: 68.0685589314
11: 77.3690578938
12: 80.1622018814
13: 84.514731884
14: 84.7505538464
15: 88.1814699173
16: 90.8765909672
17: 97.9435999393
18: 99.2320628166
19: 103.355964899
20: 107.833014965
21: 109.480177879
22: 112.44537282
23: 113.416701794
24: 114.170162916
25: 120.601955891
26: 125.976193905
27: 126.282540798
28: 143.412659883
29: 146.849590778
30: 164.685181856
31: 169.895638943
32: 171.09631896
33: 178.309384823
34: 178.511219978
35: 180.164949894
36: 182.552333832
37: 195.985456944
38: 203.060496807
39: 216.249992847
40: 224.546413898
41: 237.467790842
42: 238.664966822
43: 256.635113955
44: 264.193931818
45: 275.695172787
46: 283.597257853
47: 289.979822874
48: 293.478064775
49: 303.246716976
50: 321.077822924
51: 321.314969778
52: 325.430280924
53: 328.370074987
54: 360.627332926
55: 366.549910784
56: 373.572482824
57: 382.840852976
58: 394.946811914
59: 401.305435896
60: 406.221744776
61: 408.01838994
62: 410.175893784
63: 424.606295824
64: 425.22555685
65: 432.111364841
66: 444.429127932
67: 482.179615974
68: 513.742407799
69: 529.400381804
70: 529.709708929
71: 537.157545805
72: 548.451456785
73: 555.621133804
74: 561.449798822
75: 590.568456888
76: 594.701834917
77: 596.065339804
78: 597.328556776
79: 599.667290926
80: 608.392470837
81: 613.926808834
82: 618.433631897
83: 626.994318962
84: 629.842598915
85: 630.298621893
86: 636.454616785
87: 636.667122841
88: 639.322904825
89: 643.362170935
90: 646.137650013
91: 650.275243998
92: 659.276079893
93: 661.807523012
94: 668.250731945
95: 670.843115807
96: 676.289682865
97: 683.277520895
98: 688.796350002
99: 689.979562998
100: 693.261863947
Total count = 100
Count rate = 0.144224549003 Hz
Total dead time = 10.0 seconds
