2nd run with layer of aluminum foil

2020-02-21 22:11:10.503863
1: 2.40704393387
2: 8.72821688652
3: 26.3929889202
4: 40.6519808769
5: 42.1147699356
6: 42.3021919727
7: 68.2265169621
8: 70.1529948711
9: 97.1570880413
10: 102.278514862
11: 105.558743954
12: 106.443446875
13: 109.626531839
14: 112.615716934
15: 113.041818857
16: 129.680717945
17: 148.276100874
18: 150.762670994
19: 156.189770937
20: 156.346092939
21: 160.380882025
22: 160.596180916
23: 163.122182846
24: 165.002346992
25: 165.789417028
26: 169.463363886
27: 170.704818964
28: 171.191077948
29: 171.914788961
30: 178.487939835
31: 184.938901901
32: 190.194152832
33: 196.338368893
34: 202.576992035
35: 233.170387983
36: 241.108976841
37: 247.519114971
38: 252.201144934
39: 259.702046871
40: 271.541650057
41: 282.982151985
42: 297.352257013
43: 300.17621088
44: 304.182986021
45: 304.963383913
46: 308.366878986
47: 314.469096899
48: 319.076421976
49: 319.602432013
50: 328.525390863
51: 331.285011053
52: 343.301772833
53: 343.619520903
54: 360.476171017
55: 377.774981022
56: 406.650254965
57: 412.274935007
58: 424.657734871
59: 426.307222843
60: 444.907049894
61: 454.320524931
62: 455.162196875
63: 458.006844997
64: 461.578175068
65: 462.379036903
66: 475.143053055
67: 475.836408854
68: 484.382982016
69: 494.906839848
70: 500.456341982
71: 502.682280064
72: 511.971782923
73: 520.862441063
74: 543.425367832
75: 543.637901068
76: 547.998411894
77: 548.580952883
78: 553.025588036
79: 555.841950893
80: 556.906847
81: 583.093782902
82: 586.2642169
83: 587.293977022
84: 603.941092968
85: 609.558418036
86: 620.508941889
87: 621.844146967
88: 623.989542961
89: 626.988415956
90: 629.425430059
91: 632.890349865
92: 637.059053898
93: 658.984127045
94: 660.480057001
95: 672.968762875
96: 679.474575996
97: 682.927867889
98: 683.542368889
99: 693.884244919
100: 701.112896919
Total count = 100
Count rate = 0.142609781538 Hz
Total dead time = 10.0 seconds
