1st run with 2 sheets of aluminum foil

2020-02-21 22:30:43.449972
1: 18.5648481846
2: 20.2823779583
3: 20.6983780861
4: 35.6781270504
5: 56.0485789776
6: 58.31797719
7: 59.6655740738
8: 67.067193985
9: 76.2226910591
10: 83.9641230106
11: 86.2982690334
12: 92.8939161301
13: 99.287528038
14: 105.272727966
15: 106.963999033
16: 143.890269995
17: 145.486422062
18: 146.385625124
19: 147.592657089
20: 151.234379053
21: 166.883949995
22: 176.102051973
23: 181.357998133
24: 201.670632124
25: 204.157665014
26: 214.100342989
27: 214.817018032
28: 222.783488035
29: 223.859563112
30: 226.070862055
31: 244.481175184
32: 250.327826977
33: 294.289577007
34: 297.855271101
35: 307.936007977
36: 311.803393126
37: 312.323099136
38: 313.259680986
39: 334.442440033
40: 338.487792015
41: 342.495647192
42: 363.596642971
43: 370.673324108
44: 390.817013979
45: 393.18540597
46: 402.048784018
47: 404.844228029
48: 416.938009024
49: 417.922115088
50: 418.536142111
51: 419.272473097
52: 419.959671021
53: 430.554470062
54: 437.372769117
55: 459.731204987
56: 468.79004097
57: 469.52742815
58: 472.716174126
59: 474.05817008
60: 478.002933979
61: 479.735763073
62: 497.983528137
63: 502.46311307
64: 503.565294027
65: 509.966463089
66: 516.34190011
67: 518.717547178
68: 519.257328033
69: 528.557902098
70: 530.686589003
71: 544.295817137
72: 548.946130037
73: 549.587289095
74: 549.831879139
75: 553.778506041
76: 567.149108171
77: 567.583907127
78: 573.097680092
79: 575.369307995
80: 582.053131104
81: 582.554926157
82: 583.216452122
83: 586.684030056
84: 591.154724121
85: 593.738867044
86: 594.676573992
87: 610.336975098
88: 621.317497969
89: 629.298659086
90: 633.034603119
91: 634.769993067
92: 636.003861189
93: 638.095870018
94: 654.917425156
95: 657.703073025
96: 662.057470083
97: 662.735319138
98: 668.924293041
99: 672.71072197
100: 674.436237097
Total count = 100
Count rate = 0.148249722913 Hz
Total dead time = 10.0 seconds
