2nd run with 2 layers of aluminum foil

2020-02-21 22:43:48.172515
1: 2.42141699791
2: 54.4159560204
3: 57.0339419842
4: 59.3888370991
5: 59.5544099808
6: 76.8325080872
7: 79.5209820271
8: 81.4674899578
9: 81.9397239685
10: 82.3255870342
11: 84.6835150719
12: 96.5977880955
13: 102.143461943
14: 119.017487049
15: 122.866424084
16: 128.251986027
17: 143.31313014
18: 146.142085075
19: 148.300644159
20: 150.292366028
21: 150.700166941
22: 150.872526169
23: 158.942927122
24: 169.247908115
25: 169.663047075
26: 187.664661169
27: 198.342803955
28: 205.785959959
29: 220.223438978
30: 225.788094044
31: 233.60236311
32: 236.645730972
33: 239.223348141
34: 241.21591115
35: 270.407644033
36: 277.137504101
37: 281.168885946
38: 295.706730127
39: 335.695698023
40: 350.860738039
41: 355.592803001
42: 356.935073137
43: 358.282932997
44: 372.56506896
45: 388.276507139
46: 390.690829039
47: 402.752943993
48: 417.468150139
49: 419.958120108
50: 423.160519123
51: 427.004765987
52: 442.377516985
53: 442.832081079
54: 451.974149942
55: 461.076528072
56: 471.287408113
57: 471.554283142
58: 476.095870018
59: 482.863692999
60: 485.907864094
61: 486.914030075
62: 488.988357067
63: 501.899252176
64: 502.571721077
65: 503.626070976
66: 519.039891005
67: 530.087669134
68: 546.041877985
69: 550.428698063
70: 563.275846004
71: 565.357829094
72: 568.340619087
73: 584.11138916
74: 585.14072299
75: 590.33221817
76: 600.676573992
77: 605.729655981
78: 619.452007055
79: 623.657586098
80: 627.053630114
81: 648.772426128
82: 655.020893097
83: 657.479167938
84: 658.621263027
85: 661.059911966
86: 670.228415966
87: 675.76802516
88: 681.762099028
89: 685.343286991
90: 699.778816938
91: 700.22567296
92: 702.277115107
93: 706.009441137
94: 706.729719162
95: 713.432150126
96: 726.650650978
97: 740.842952967
98: 744.669989109
99: 745.596524
100: 746.037719011
Total count = 100
Count rate = 0.134023270485 Hz
Total dead time = 10.0 seconds
