1st run with 4 layers of aluminum foil

2020-02-21 23:57:13.088602
1: 9.53298091888
2: 11.4618630409
3: 13.7689459324
4: 14.1228709221
5: 23.828029871
6: 24.0624098778
7: 27.6627910137
8: 38.8295440674
9: 49.0555739403
10: 50.9793670177
11: 77.1480109692
12: 80.5796189308
13: 81.203414917
14: 82.0829298496
15: 86.3567659855
16: 91.5930280685
17: 92.4731378555
18: 93.707668066
19: 111.037787914
20: 115.712373972
21: 117.238353968
22: 117.607893944
23: 137.511111975
24: 137.740231991
25: 140.85215497
26: 142.386240959
27: 145.070719004
28: 148.349081039
29: 151.720511913
30: 166.414197922
31: 195.277379036
32: 205.972863913
33: 207.005291939
34: 212.306223869
35: 226.962455988
36: 229.994318962
37: 231.387265921
38: 231.954643011
39: 241.408343077
40: 246.759289026
41: 249.454226971
42: 263.094044924
43: 265.44074893
44: 274.978290081
45: 278.421294928
46: 282.469333887
47: 286.669471025
48: 292.746280909
49: 293.567499876
50: 303.448402882
51: 317.156475067
52: 318.576853037
53: 324.00286293
54: 336.973546982
55: 350.467344046
56: 354.32107687
57: 360.460985899
58: 361.543833971
59: 365.011266947
60: 384.248982906
61: 386.609035969
62: 391.920353889
63: 392.475306988
64: 393.887023926
65: 399.280895948
66: 407.473434925
67: 409.848530054
68: 430.464447975
69: 442.87752986
70: 446.090431929
71: 447.233623028
72: 461.402782917
73: 490.619288921
74: 495.13527298
75: 522.735378981
76: 533.375978947
77: 535.45014596
78: 556.960021973
79: 594.553771019
80: 604.651139021
81: 609.18751502
82: 614.431318045
83: 626.516252041
84: 626.780406952
85: 629.68422699
86: 631.395541906
87: 646.686275959
88: 650.654687881
89: 653.512521029
90: 662.359127998
91: 666.635644913
92: 689.280514956
93: 690.227055073
94: 703.581147909
95: 705.081901073
96: 706.97191
97: 726.155993938
98: 736.579381943
99: 738.329444885
100: 758.415942907
Total count = 100
Count rate = 0.131836169114 Hz
Total dead time = 10.0 seconds
