2nd run with no aluminum foil

2020-02-22 00:27:55.509430
1: 2.88078403473
2: 5.86182498932
3: 15.8593790531
4: 25.1489341259
5: 26.3269331455
6: 29.3878731728
7: 32.5327050686
8: 32.997823
9: 50.5984041691
10: 59.2446420193
11: 59.6440830231
12: 74.7081830502
13: 87.6897361279
14: 91.3157491684
15: 92.040058136
16: 103.793648005
17: 112.086543083
18: 113.601016998
19: 116.481096983
20: 116.997307062
21: 117.361707211
22: 119.218535185
23: 123.267363071
24: 134.349923134
25: 136.637879133
26: 147.581680059
27: 149.177052021
28: 152.021457195
29: 156.484222174
30: 179.855272055
31: 202.262819052
32: 207.145951033
33: 213.832689047
34: 215.131249189
35: 220.069850206
36: 223.704756021
37: 226.272186041
38: 228.783863068
39: 228.928673029
40: 233.83329916
41: 234.21058917
42: 249.185220003
43: 258.583594084
44: 260.084419012
45: 263.739999056
46: 271.329739094
47: 277.774124146
48: 292.827782154
49: 294.009625196
50: 298.838617086
51: 306.520166159
52: 311.947478056
53: 317.619571209
54: 336.082106113
55: 336.358126163
56: 337.209598064
57: 342.102121115
58: 343.265305996
59: 358.796231985
60: 360.873769999
61: 373.044733047
62: 376.751165152
63: 377.911550045
64: 381.923617125
65: 399.642952204
66: 404.189680099
67: 406.806583166
68: 409.980780125
69: 423.330965042
70: 423.739227057
71: 430.71628809
72: 433.3342731
73: 439.88577199
74: 449.279029131
75: 483.501839161
76: 483.928347111
77: 486.239970207
78: 498.302098036
79: 514.591856003
80: 515.327035189
81: 538.217373133
82: 541.518119097
83: 553.881787062
84: 558.009086132
85: 571.834381104
86: 582.628935099
87: 585.899600983
88: 592.014967203
89: 606.432841063
90: 614.607023001
91: 620.083063126
92: 622.969796181
93: 625.990454197
94: 627.610418081
95: 644.451958179
96: 645.600704193
97: 646.718540192
98: 659.152611017
99: 664.76829505
100: 672.883760214
Total count = 100
Count rate = 0.148591700974 Hz
Total dead time = 10.0 seconds
